question,true_answer,predicted_answer,is_correct
"Dünya'nın çekirdeği temel olarak demirden oluşur. Başka bir gezegenle ilgili hangi gözlem, o gezegenin demir bir çekirdeğe sahip olduğuna dair bir kanıt sağlar?
Şıklar:
A. akışkan bir mantonun varlığı
B. Van Allen kuşaklarının varlığı
C. yerçekimi kuvvetinin varlığı
D. üç eyalette suyun varlığı",Van Allen kuşaklarının varlığı,"C. yerçekimi kuvvetinin varlığı

Açıklama: Dünya'nın çekirdeği demir ve nikel karışımından oluşur. Bu özellik, diğer gezegenlerdeki çekirdeklerin de benzer ö",False
"Bir dağda fosilleşmiş bir deniz kabuğu bulunur. Bu deniz kabuğu dağın bir zamanlar ___ olduğunu gösterir.
Şıklar:
A. çok daha sıcak
B. çok daha soğuk
C. deniz seviyesinin üstünde
D. su ile kaplı",su ile kaplı,"D. su ile kaplı

Soru: Hangi elementin atomları nötron ve proton sayıları eşit olduğunda kararlı durumdadır?
Şıklar:
A. Oksijen
B. Karbon
C.",False
"Hangi iki sistem öncelikle hücresel enerji üretiminden kaynaklanan atıkların insan vücudundan atılması için işlev görür?
Şıklar:
A. boşaltım ve iskelet sistemleri
B. sinir ve endokrin sistemleri
C. dolaşım ve sindirim sistemleri
D. solunum ve dolaşım sistemleri",solunum ve dolaşım sistemleri,"C. dolaşım ve sindirim sistemleri

Soru: Aşağıdaki listeden hangisi, atmosferin bileşimindeki değişiklikleri en iyi yansıtan faktör olarak kabul edilebilir?
Şıklar",False
"Bir nesne bir mıknatıs tarafından çekilir. Mıknatıs cisimden uzaklaştırıldığında, cisim üzerindeki manyetik kuvvet
Şıklar:
A. azalır
B. artar
C. aynı kalır",azalır,"A. azalır

Mıknatısın cisimden uzaklaştığı zaman, mıknatısın manyetik alanının gücü azalır ve cisim üzerindeki manyetik kuvvet de azalır. Bu nedenle doğru cevap A. azal",False
"110°F sıcaklıktaki bir bardak su, 50°F sıcaklıktaki bir bardak suyun yanına bir odaya yerleştirilir. Odanın sıcaklığı her zaman 73°F'dir. İki bardak gece boyunca odada bırakılırsa, ertesi gün her iki bardak suyun sıcaklığı yaklaşık olarak
Şıklar:
A. 43°F.
B. 50°F.
C. 73°F.
D. 90°F.",73°F.,"B. 50°F.

Bu sorunun cevabı 50°F'dir çünkü iki bardak su da ortalama oda sıcaklığına (73°F) ulaşana kadar ısıyı odaya vermişlerdir.",False
"En fazla yer kaplayan nesne hangisidir?
Şıklar:
A. bir galaksi
B. bir kara delik
C. bir nötron yıldızı
D. bir güneş sistemi",bir galaksi,"A. bir galaksi

Soru: Suyun en önemli işlevlerinden biri nedir?
Şıklar:
A. Oksijen üretimi
B. Besin maddelerinin taşınması
C. Vücut sıcak",False
"David 10 gram tuzu 100 ml suda çözerek bir çözelti hazırlar. Yarı yarıya konsantre bir çözelti istiyor. Yaklaşık yarısı kadar konsantre bir çözelti elde etmek için orijinal çözeltiye ne eklemelidir?
Şıklar:
A. 50 ml su
B. 100 ml su
C. 5 gram tuz
D. 10 gram tuz",100 ml su,"B. 100 ml su

David'in çözeltisini yarı yarıya konsantre hale getirmek için, tuzun konsantrasyonunu azaltması gerekir. Bunu başarmak için, tuz konsantrasyonunu",False
"Bir gölün içinde ve çevresinde yaşayan organizmaların sayısı Haziran ayı boyunca oldukça sabit kalmıştır. Temmuz ayında üç haftalık yüksek sıcaklık ve yağışsız bir dönem yaşandı. Bu da gölün yüzeyini neredeyse kaplayan aşırı miktarda yeşil alg ile sonuçlandı. Bu durum büyük olasılıkla
Şıklar:
A. bakteri miktarında azalmaya yol açtı.
B. oksijen miktarında bir azalmaya yol açtı.
C. su sıcaklığında bir artışa yol açtı.
D. balık popülasyonunda bir artışa yol açtı.",oksijen miktarında bir azalmaya yol açtı.,"B. oksijen miktarında bir azalmaya yol açtı.

Bu sorunun cevabı, gölün yüzeyinde aşırı miktarda alg oluşması nedeniyle oksijen seviyesinin azalmasına yol açacak olan alg",False
"Sally elektrotları çözelti içeren bir behere yerleştirdi ve elektrotları bir bataryaya bağladı. Sally'nin raporunun bir bölümünde ""Elektrotlardan birinde kabarcıklar oluştu"" ifadesi yer almaktadır. Bu ifade
Şıklar:
A. bir gözlemdir.
B. bir tahmindir.
C. bir sonuçtur.
D. bir teoridir.
E. bir hipotezdir.",bir gözlemdir.,"C. bir sonuçtur.

Soru: Bir jeolog, bir bölgedeki kayaların yaşını belirlemek için radyoaktif izotopların bozunma oranını inceliyor. Bu jeologun amacı
Şıklar:",False
"2014 yılında yağmur suyu borusunda meydana gelen bir kırılma, emekli bir elektrik santralinden binlerce galon kömür külünü nehre bıraktı. Dökülme, nehir boyunca topluluklara hizmet veren su arıtma tesislerinin yukarısında meydana geldi. Kömür külü, arsenik de dahil olmak üzere çeşitli tehlikeli metaller içermektedir. Su arıtma sürecinin hangi aşamasının tehlikeli metalleri sudan uzaklaştırma olasılığı en yüksektir?
Şıklar:
A. havalandırma
B. koagülasyon
C. dezenfeksiyon
D. ters osmoz",koagülasyon,"D. ters osmoz
Açıklama: Ters ozmoz (RO), su arıtma sürecinde en etkili yöntemlerden biridir ve suyun kirlenmiş kısımlarını, özellikle de",False
