ensemble_id,question,true_answer,predicted_answer,is_correct
1,"Kırmızı gömlekli bir adam ellerini çırpıyor. Bir pistte koşuyor ve kuma atlıyor. insanlar
Şıklar:
A. Stadyumda durup onu izliyorlar.
B. bekleme odasında oturup izliyorlar.
C. daha sonra kumu tırmıklayın.
D. onun koşmasını izliyoruz.",daha sonra kumu tırmıklayın.,"B
Soru: Bir adam bir yolda yürüyor. Yolda
Şıklar:
A. bir bisikletin üzerinde duruyor.
B. bir ağaç dalı kırılıyor.
C. bir köpek ona doğru koşuyor.
D",False
1,"Bir kişi bir diski birkaç kez uzak mesafeye fırlatıyor. mavi gömlekli bir kadın
Şıklar:
A. oturup onu izliyor.
B. diski bir enerji tabancasıyla yakalıyor.
C. aynı zamanda bir diski birkaç kez uzağa fırlatıyor.
D. onların arkasında yürüyor.",oturup onu izliyor.,"B
S",False
1,"İnsanlar bir binanın önünde paten kayıyor. A
Şıklar:
A. kız kameranın önünde duruyor ve konuşuyor.
B. Adam konuşurken merdivenlerden piste çıkıyor.
C. Adam silindir bıçaklarını hızlı kullanıyor.
D. insan onlardan önce onlara yetişmeye çalışır.",Adam silindir bıçaklarını hızlı kullanıyor.,"A
Soru",False
1,"Küçük bir kız kumda oynuyor. Kız bir kürek alıyor. Bir kişi
Şıklar:
A. kameranın önünde yürüyor.
B. küreği ona uzat.
C. kumların önünde bisiklete binerek geliyor.
D. köpeğini kumda gezdiriyor.",kameranın önünde yürüyor.,"D
Soru: Bir grup insan bir dağın tepesinde. Dağ
Şıklar:
A. çok yüksek bir dağın tepesinde.
B. bir buzul üzerinde yür",False
1,"Yeşil bluzlu bir bayan ahşap mutfak zeminini süpürüyor. Bayan
Şıklar:
A. süpürgeliklere doğru süpürür.
B. Konuşurken elinde süpürge ve faraş tutuyor.
C. gideri açar ve zemini süpürür.
D. uzaklara bakıyor.",süpürgeliklere doğru süpürür.,"D
Soru: Bir kadın bir",False
1,"İnsanlar büyük bir şelalenin üzerinden kanoyla geçiyor. Bir kişi kamerayı tutar ve onu filme alır. iki insan
Şıklar:
A. suyun altında birlikte kayak yapıyorlar.
B. suya düşüp boğulmak.
C. birlikte kano yapıyoruz.
D. birbirinize çak bir beşlik verin.",birbirinize çak bir beşlik verin.,"A
Soru: Bir grup insan bir dağda yürüyüş yapıyor. Bir kişi
Şıklar:
A. bir fotoğraf çekiyor.
B. bir kaya düşüyor.
C. bir ağaç dalı tutuyor.",False
1,"Tekneler suyun içinden geçiyor. Bir fırtına vuruyor ve bir adam ağlıyor. tekneler
Şıklar:
A. suda bozuldu.
B. suyun içinden geçmeye devam edin.
C. Dalgaların üzerinden geçiyoruz ve birine mavi bir kamyonet çarpıyor.
D. bir dağa binmek.",suyun içinden geçmeye devam edin.,"D
Soru 14: Bir kişi bir bina içinde duruyor. O
Şıklar:
A. binanın içinde bir şey arıyor.",False
1,"Bir adam asfalt bir sokakta duruyor. Koşmaya başlar ve toprak bir alana cirit atar. birkaç kişi daha
Şıklar:
A. ciriti aynı yere atın.
B. arka planda duruyorlar.
C. cirit atarak ona katılın.
D. koşun ve taş atın.",arka planda duruyorlar.,"C
Soru: Bir kadın bir masanın üzerine oturuyor. O
Şıklar:
A. bir kitap okuyor.
B. bir mektup yazıyor.
C. bir masa üzerinde duruyor.
D. bir masanın üzerinde uy",False
1,"Bir kadın bir masada oturuyor. Onlar
Şıklar:
A. Bıçağı havaya kaldırır ve onu gümüş bir çubuk üzerinde keskinleştirmeye başlar.
B. bir portakal portakal suyu ve bir bardak alın.
C. ellerinde bir şeyler örüyorlar.
D. masa tenisi oynamaya başlayın.",ellerinde bir şeyler örüyorlar.,"D
Soru: Bir kadın bir masa başında oturuyor. O
Şıklar:
A. bir resim çizer.
B. bir kitap okuyor.
C. bir kalem ve kağıt tutuyor.
D. bir koltukta uyuyor.
Sadece yukarıdaki Şıklar arasından doğru şık harfini",False
1,"Bir adam cirit atmaya hazırlanan bir sopayla koşuyor. diğer adam
Şıklar:
A. birinci adam sürekli atış yaparken cirit atıyor.
B. cirit atarken tarlada duruyor.
C. o da eline cirit alarak koşuyor.
D. adamın atışı yapmasını izliyor.",adamın atışı yapmasını izliyor.,"D
Soru: Bir grup insan bir plajda oturuyor. O
Şıklar:
A. bir plajda yürüyorlar.
B. bir kumsalda yürüyorlar.
C. bir plajda uzanıyorlar.
D. bir plajda koşuyorlar.
Sadece yukarıdaki Şıklar arasından doğru şık harfini belirt.
C",False
1,"Bir adam konuşurken bisikletin önünde duruyor. O
Şıklar:
A. Lastiği ayarlamak için tornavida kullanır.
B. kovayı açar ve araba tekerleği temizleyicisini çıkarır.
C. bisikletin lastiğine bir şey koyar.
D. bisikletin lastiğini keser.",Lastiği ayarlamak için tornavida kullanır.,"A
Soru: Bir adam bir arabanın yakınında duruyor. O
Şıklar:
A. arabanın kapısını açıyor.
B. arabanın ön camını temizliyor.
C. arabanın yanına bir şey koyuyor.
D. arabanın lastiğini kontrol ediyor.
Sadece yukarıdaki Şıklar arasından doğru şık harfin",False
1,"Bir kadın mutfakta duruyor. o
Şıklar:
A. tostun üzerine hardal sürüyor.
B. bir bardak limon ve su tutuyor.
C. Malzemeleri cam bir kaseye koyup karıştırıyoruz.
D. Malzemeleri kurabiye tepsisine döküyor.",Malzemeleri cam bir kaseye koyup karıştırıyoruz.,"B
Soru: Bir adam bir banyo küvetinde oturuyor. O
Şıklar:
A. banyo yaparken.
B. bir fincan kahve içiyor.
C. bir kitabı okuyor.
D. bir ş",False
1,"Bir grup maç izlemek için toplanıyor. iki insan
Şıklar:
A. ayağa kalk ve bilek güreşi yap.
B. diz çök ve karate yap.
C. ringin içinde dövüş sanatlarıyla meşgul olun.
D. çerçeveye gir ve bir kibrit yak.",ringin içinde dövüş sanatlarıyla meşgul olun.,"B
Soru: Bir grup insan bir plajda. Bir kadın
Şıklar:
A. bir şemsiye açıyor.
B. bir şemsiyeyle",False
1,"İki adam yere diz çöküyor. Onlar
Şıklar:
A. diz pres makinesi kullanıyor.
B. bir adamın saçını kesiyorlar.
C. birlikte ağırlık kaldırmaya başlayın.
D. halı karolarını birlikte döşüyorlar.",halı karolarını birlikte döşüyorlar.,"A
Soru: Bir kişi bir bankta oturuyor. O
Şıklar:
A. bir bankanın üzerinde oturuyor.
B. bankadaki bir sandalyede oturuyor.
C.",False
1,"Bir adam kumda diz çöküyor. bir adam
Şıklar:
A. bir kürek alır ve bir kovayı kumla doldurmaya başlar.
B. mat üzerinde şınav çekiyor.
C. kamerayla konuşmaya başlıyor.
D. demirciyle kumu keser.",bir kürek alır ve bir kovayı kumla doldurmaya başlar.,"B
Soru: Bir kişi bir sandalyede oturuyor. Bir kişi
Şıklar:
A. sandalyenin arkasında duruyor.
B. sandalyeye bir kitap koyuyor.
C. sandalyenin yanına bir tabure koyuyor.
D. sandalyenin üstüne",False
1,"İki adam langırt oynuyor. bir adam
Şıklar:
A. kart destesini temizliyor.
B. Kol oyununu tekrar tekrar salladıktan sonra yere düşüyor.
C. yerde break dansı yapıyor.
D. Önlerinde dururken hakemlik yapar.",Önlerinde dururken hakemlik yapar.,"B
Soru: Bir çocuk bir çitin üzerinde duruyor. O
Şıklar:
A. bir kaykay üzerinde duruyor.
B. bir çitin üzerinde duruyor.
C. bir kaykay üzerinde kayıyor.
D. bir kaykayın üzerinde oturuyor.",False
1,"Bir grup yaşlı insan bir parkta buluşuyor. Onlar
Şıklar:
A. yerde seksek oynuyorlar.
B. birlikte konuşun ve yoga yapın.
C. konileri çıkarın ve yerleştirin.
D. Çarpışan arabalara binmeye başlayın.",birlikte konuşun ve yoga yapın.,"D
Soru: Bir adam bir şeye bakıyor. O
Şıklar:
A. bir tabakta yemek yerken.
B. bir resimdeki bir şeyi inceliyor.
C. bir sporcu oyunu izliyor.
D. bir",False
1,"Bir adam dışarıda durup bira içiyor. İnsanlar etrafta durup onu izliyorlar. O
Şıklar:
A. bira bardağını masaya bırakır.
B. bir dükkanın önünde duruyor.
C. tuba çalmaya çalışır.
D. İnsanlar çatıdan izlerken birayı shot bardağında çeviriyor.",bira bardağını masaya bırakır.,"C
Soru: Bir adam bir kumsalda duruyor. O
Şıklar:
A. bir kumdan heykel yapıyor.
B. bir kumdan kule inşa ediyor.
C. bir kum",False
1,"Bir kişi yürüyüş yolunu kürekle gösteriyor. bir köpek
Şıklar:
A. bir çöplüğün yanında yürüyor.
B. yürüyüş yolunun ilk 5 metresini köpürtüyor.
C. kişiye doğru koşar.
D. kar yığınına atlıyor ve sahibi gelip yardım ediyor.",kişiye doğru koşar.,"B
Soru: Bir kadın bir şemsiyeyi açıyor. O
Şıklar:
A. yağmur yağarken.
B. güneşli bir günde.
C. bir ç",False
1,"Bir kadın tahtada gömleğini ütülüyor. o
Şıklar:
A. elini tahtaya koyuyor, gösteriyor ve ütülüyor.
B. ütülemeden önce gömleğe üfler.
C. ütüyü prize takar ve düğmeyi çevirir.
D. özür diler gibi görünür ve havluyla silmeye başlar.",ütüyü prize takar ve düğmeyi çevirir.,,False
1,"İnsanlar spor salonunda bisiklete biniyorlar. iki kadın
Şıklar:
A. Bisikletler ahşap namlulu bir sahada sıralanmıştır.
B. tulumlarla spor salonundayız.
C. arka tekerlekte vagon.
D. kondisyon bisikletleri üzerinde çalışıyorlar.",kondisyon bisikletleri üzerinde çalışıyorlar.,,False
1,"Bir grup insan uçurumun dibinde. Onlar
Şıklar:
A. kanolarda oturuyorlar, telsizleriyle oynuyorlar.
B. kenarından aşağı atladığı görülüyor.
C. ekipmanlarını giyiyorlar.
D. hepsi maskeli balo kıyafetleri giymiş.",ekipmanlarını giyiyorlar.,"B
Soru: Bir grup insan bir dağın tepesinde. O
Şıklar:
A. bir tırmanış sırasında.
B. bir tepeden aşağıya kayıyor.
C. bir tepenin üzerinde duruyor.
D. bir tepede otur",False
1,"Türkiye'den bir bayanın mavi pistte uzun atlama yaptığını görüyoruz. bir adam
Şıklar:
A. büyük gümüş bir pistte onu havada takip ediyor.
B. atlamasından sonra dönüyor.
C. pistin bir kenarında duruyor.
D. beyaz bayrak kaldırıyor ve kadın uzaklaşıyor.",beyaz bayrak kaldırıyor ve kadın uzaklaşıyor.,"D
Soru: Bir grup insan bir sahilde. Bir erkek
Şıklar:
A. bir şemsiyeyle şemsiyeyi açıyor.
B. bir köpeği yakalamaya çalışıyor.
C. bir sandalyede",False
