question,true_answer,predicted_answer,is_correct
"Gabriel ve Luri'nin her birinin 100 şarkıya kadar depolayabilen taşınabilir bir medya oynatıcısı var. Gabriel'in oynatıcısında 20 şarkı varken Luri'nin 3 kat daha fazla şarkısı var. Luri, Gabriel'in ekleyebileceğinden kaç şarkı daha az ekleyebilir?",40,60,False
Bir kutuda kırk elma var. Amca Franky iki kutu elma sipariş etti. Elmaları bir pakette sekiz elma olacak şekilde paketlemeyi planlıyor. İki kutu elmayla kaç paket elma yapabilir?,10,60 paket elma.,False
"Alice, Beth'ten 7 yaş büyük, Beth ise Erica'dan 5 yaş büyük. Erica 30 yaşındaysa, Alice ile Erica'nın yaşları arasındaki fark nedir?",12,29 yıl.,False
"Mitchell ailesi için nachos yapıyor. İki torba cips alıyor ve her birinde 55 cips var. Eğer ailesinde beş kişi varsa ve herkes eşit sayıda cips alıyorsa, her kişi kaç cips alır?",22,22.5,False
"Christina her gün ruh halini bir takvime kaydeder. Geçtiğimiz otuz gün içindeki ruh hallerinde on iki iyi gün ve sekiz kötü gün geçirdi ve geri kalanlar nötrdü. İlk sekiz günü iyi, ikinci sekiz günü kötü ve üçüncü sekiz günü nötr geçti. Eğer sonraki üç gün iyi, nötr ve iyi geçerse, ayda kaç iyi gün kalmıştır?",2,8,False
"Gissela, Gordy ve Gary kamyon şoförüdür. Gissela'nın kamyonu 4,000 pound çakıl taşıyacak kadar büyüktür. Gordy'nin kamyonu Gissela'nınkinin taşıyabileceğinden 800 pound daha fazla taşıyabilir. Ve Gary kamyonunu getirip Gissela ve Gordy'ye katıldığında, üç kamyon toplamda 11,600 pound çakıl taşıyabilir. Gary'nin kamyonu kaç pound çakıl taşıyabilir?",2800,3600,False
"Beatrice, Sanat dersi için on paket boya kalemi aldı. Paketlerin altısında her birinde sekiz renk vardı ve diğer dört pakette her birinde on altı renk vardı. Beatrice toplamda kaç renk boya kalemi almış oldu?",112,1920.,False
Martin'ın ağırlığı 55 kg'dır. Carl'ın ağırlığı Martin'ın ağırlığından 16 kg fazladır. Christian'ın ağırlığı Carl'ın ağırlığından 8 kg fazladır. Harry'nin ağırlığı Christian'ın ağırlığından 5 kg azdır. Harry'nin ağırlığı kaç kg'dır?,74,52,False
"Kylie ve Robert kumsalda kabuk toplamaktan hoşlanırlar. Pazartesi günü, Robert'in topladığı 20 kabuğun 5 fazlasını Kylie toplar. Salı günü ise Kylie, Pazartesi günü topladığının 2 katı kadar kabuk toplar. Salı günü Kylie kaç kabuk toplar?",50,45,False
"İki araba bir otobanda seyahat ediyor. İlk araba saatte ortalama 60 mil hızla giderken, ikinci araba saatte ortalama 70 mil hızla onu geçiyor. Her iki araç da aynı hızla otobanda yol almaya devam ederse, 2 saat sonra aralarında kaç mil mesafe olacak?",20,1000.00.,False
"Liam ve Mitchell birbirlerinin karşısındaki sokakta rekabet eden limonata standları işletiyorlar. Liam bir hafta sonu 63 dolar kazandığını övündüğünde, Mitchell güldü ve aynı hafta sonu 21 limonata sattığını ve her birini 4 dolardan sattığını söyledi. Mitchell o hafta sonu Liam'dan limonata satışından kaç dolar daha fazla kazandı?",21,39,False
"Romeo 120 kişi ile bir trene biner. İlk durakta 20 kişi daha trene biner. İkinci durakta 50 kişi trenden inerken, bu sayının iki katı kadar kişi trene biner. Üçüncü istasyonda 80 kişi daha indiyse, son durakta trendeki toplam kişi sayısını hesaplayın.",110,"240
Soru: Bir yığın 3.5 kilogramlık bir kütleden oluşuyor. Bu yığının 1/5'i 0.7 kilogramlık",False
