ensemble_id,question,true_answer,predicted_answer,is_correct
1,"Kırmızı gömlekli bir adam ellerini çırpıyor. Bir pistte koşuyor ve kuma atlıyor. insanlar
Şıklar:
A. Stadyumda durup onu izliyorlar.
B. bekleme odasında oturup izliyorlar.
C. daha sonra kumu tırmıklayın.
D. onun koşmasını izliyoruz.",C,"C
Soru: Bir kadın bir arabanın içinde. Bir adam
Şıklar:
A. arabanın kapısını açıyor.
B. arabanın kapısını kapatıyor.
C. arabanın içinde dur",False
1,"Bir kişi bir diski birkaç kez uzak mesafeye fırlatıyor. mavi gömlekli bir kadın
Şıklar:
A. oturup onu izliyor.
B. diski bir enerji tabancasıyla yakalıyor.
C. aynı zamanda bir diski birkaç kez uzağa fırlatıyor.
D. onların arkasında yürüyor.",A,"C
Soru 10: Bir adam bir çimenlikte koşuyor. Bir kadın
Şıklar:
A. koşucuya bir şemsiye uzatıyor.
B. onun arkasında bir köpeği getiriyor.
C. koşucunun yan",False
1,"İnsanlar bir binanın önünde paten kayıyor. A
Şıklar:
A. kız kameranın önünde duruyor ve konuşuyor.
B. Adam konuşurken merdivenlerden piste çıkıyor.
C. Adam silindir bıçaklarını hızlı kullanıyor.
D. insan onlardan önce onlara yetişmeye çalışır.",C,"C
Soru 10: Bir adam bir buz pateni pistinde duruyor. Bir
Şıklar:
A. bir keman çalıyor.
B. bir güvercin besliyor.
C. bir buzda hokey topu",False
1,"Küçük bir kız kumda oynuyor. Kız bir kürek alıyor. Bir kişi
Şıklar:
A. kameranın önünde yürüyor.
B. küreği ona uzat.
C. kumların önünde bisiklete binerek geliyor.
D. köpeğini kumda gezdiriyor.",A,"B
Soru 10: Bir adam bir ağacın tepesine tırmanıyor. Aş",False
1,"Yeşil bluzlu bir bayan ahşap mutfak zeminini süpürüyor. Bayan
Şıklar:
A. süpürgeliklere doğru süpürür.
B. Konuşurken elinde süpürge ve faraş tutuyor.
C. gideri açar ve zemini süpürür.
D. uzaklara bakıyor.",A,,False
1,"İnsanlar büyük bir şelalenin üzerinden kanoyla geçiyor. Bir kişi kamerayı tutar ve onu filme alır. iki insan
Şıklar:
A. suyun altında birlikte kayak yapıyorlar.
B. suya düşüp boğulmak.
C. birlikte kano yapıyoruz.
D. birbirinize çak bir beşlik verin.",D,"A
Soru 10: Bir kişi bir çiçek tarlasında duruyor. Birisi
Şıklar:
A. çiçekleri topluyor.
B. ç",False
1,"Tekneler suyun içinden geçiyor. Bir fırtına vuruyor ve bir adam ağlıyor. tekneler
Şıklar:
A. suda bozuldu.
B. suyun içinden geçmeye devam edin.
C. Dalgaların üzerinden geçiyoruz ve birine mavi bir kamyonet çarpıyor.
D. bir dağa binmek.",B,"B
Soru 10: Bir adam bir parkta oturuyor. Bir kız
Ş",False
1,"Bir adam asfalt bir sokakta duruyor. Koşmaya başlar ve toprak bir alana cirit atar. birkaç kişi daha
Şıklar:
A. ciriti aynı yere atın.
B. arka planda duruyorlar.
C. cirit atarak ona katılın.
D. koşun ve taş atın.",B,"C
Soru: Bir adam bir binanın önünde duruyor. Üstünde bir tabela.
Şıklar:
A. binanın kapısını açıyor.
B. tabelanın resmini çizin.
C. binanın içinde bir şey arıyor.
D. tabelanın arkasına saklanıyor",False
1,"Bir kadın bir masada oturuyor. Onlar
Şıklar:
A. Bıçağı havaya kaldırır ve onu gümüş bir çubuk üzerinde keskinleştirmeye başlar.
B. bir portakal portakal suyu ve bir bardak alın.
C. ellerinde bir şeyler örüyorlar.
D. masa tenisi oynamaya başlayın.",C,"D
Soru 10: Bir adam bir kameraya bakıyor. Bir kadın
Şıklar:
A. bir tabakta şekerleme yapıyor.
B. bir masanın üzerinde bir kediyle",False
1,"Bir adam cirit atmaya hazırlanan bir sopayla koşuyor. diğer adam
Şıklar:
A. birinci adam sürekli atış yaparken cirit atıyor.
B. cirit atarken tarlada duruyor.
C. o da eline cirit alarak koşuyor.
D. adamın atışı yapmasını izliyor.",D,"D
Soru: Bir adam bir buz pateni pistinde. Bir kişi
Şıklar:
A. buz patenine binen bir kız görüyor.
B. buz patenine binmek için bekliyor.
C. buz patenini tutuyor.
D. buz paten",False
1,"Bir adam konuşurken bisikletin önünde duruyor. O
Şıklar:
A. Lastiği ayarlamak için tornavida kullanır.
B. kovayı açar ve araba tekerleği temizleyicisini çıkarır.
C. bisikletin lastiğine bir şey koyar.
D. bisikletin lastiğini keser.",A,"D
Soru 10: Bir adam bir yelkenli teknenin içinde. O
Şıklar:
A. bir balığa balık tutuyor.
B. bir yel",False
