question,true_answer,predicted_answer,is_correct
"Gabriel ve Luri'nin her birinin 100 şarkıya kadar depolayabilen taşınabilir bir medya oynatıcısı var. Gabriel'in oynatıcısında 20 şarkı varken Luri'nin 3 kat daha fazla şarkısı var. Luri, Gabriel'in ekleyebileceğinden kaç şarkı daha az ekleyebilir?",40,40,True
Bir kutuda kırk elma var. Amca Franky iki kutu elma sipariş etti. Elmaları bir pakette sekiz elma olacak şekilde paketlemeyi planlıyor. İki kutu elmayla kaç paket elma yapabilir?,10,50.,False
"Alice, Beth'ten 7 yaş büyük, Beth ise Erica'dan 5 yaş büyük. Erica 30 yaşındaysa, Alice ile Erica'nın yaşları arasındaki fark nedir?",12,37 yıl.,False
"Mitchell ailesi için nachos yapıyor. İki torba cips alıyor ve her birinde 55 cips var. Eğer ailesinde beş kişi varsa ve herkes eşit sayıda cips alıyorsa, her kişi kaç cips alır?",22,"11.5 (iki torba cips 110 cips, 5 kişiye eşit olarak paylaştırılan cips 11.5 olur)",False
"Christina her gün ruh halini bir takvime kaydeder. Geçtiğimiz otuz gün içindeki ruh hallerinde on iki iyi gün ve sekiz kötü gün geçirdi ve geri kalanlar nötrdü. İlk sekiz günü iyi, ikinci sekiz günü kötü ve üçüncü sekiz günü nötr geçti. Eğer sonraki üç gün iyi, nötr ve iyi geçerse, ayda kaç iyi gün kalmıştır?",2,"10

Bu soruyu çözmek için:

1. İlk sekiz gün iyi, ikinci sekiz gün kötü ve üçüncü sekiz gün nötr geçmiştir. Bu durumda iyi günler 12 - 8 =",False
"Gissela, Gordy ve Gary kamyon şoförüdür. Gissela'nın kamyonu 4,000 pound çakıl taşıyacak kadar büyüktür. Gordy'nin kamyonu Gissela'nınkinin taşıyabileceğinden 800 pound daha fazla taşıyabilir. Ve Gary kamyonunu getirip Gissela ve Gordy'ye katıldığında, üç kamyon toplamda 11,600 pound çakıl taşıyabilir. Gary'nin kamyonu kaç pound çakıl taşıyabilir?",2800,"3,600 pound.",False
"Beatrice, Sanat dersi için on paket boya kalemi aldı. Paketlerin altısında her birinde sekiz renk vardı ve diğer dört pakette her birinde on altı renk vardı. Beatrice toplamda kaç renk boya kalemi almış oldu?",112,272.,False
Martin'ın ağırlığı 55 kg'dır. Carl'ın ağırlığı Martin'ın ağırlığından 16 kg fazladır. Christian'ın ağırlığı Carl'ın ağırlığından 8 kg fazladır. Harry'nin ağırlığı Christian'ın ağırlığından 5 kg azdır. Harry'nin ağırlığı kaç kg'dır?,74,67 kg.,False
"Kylie ve Robert kumsalda kabuk toplamaktan hoşlanırlar. Pazartesi günü, Robert'in topladığı 20 kabuğun 5 fazlasını Kylie toplar. Salı günü ise Kylie, Pazartesi günü topladığının 2 katı kadar kabuk toplar. Salı günü Kylie kaç kabuk toplar?",50,"40
Kabuk toplama oranlarından yola çıkarak Kylie'nin Pazartesi günü 20 + 5 = 25 kabuk topladığını ve Salı günü Pazartesi gününün 2 katı kadar kabuk topl",False
"İki araba bir otobanda seyahat ediyor. İlk araba saatte ortalama 60 mil hızla giderken, ikinci araba saatte ortalama 70 mil hızla onu geçiyor. Her iki araç da aynı hızla otobanda yol almaya devam ederse, 2 saat sonra aralarında kaç mil mesafe olacak?",20,100.,False
