ensemble_id,question,true_answer,predicted_answer,is_correct
1,"Kırmızı gömlekli bir adam ellerini çırpıyor. Bir pistte koşuyor ve kuma atlıyor. insanlar
Şıklar:
A. Stadyumda durup onu izliyorlar.
B. bekleme odasında oturup izliyorlar.
C. daha sonra kumu tırmıklayın.
D. onun koşmasını izliyoruz.",C,D (onun koşmasını izliyoruz.),False
1,"Bir kişi bir diski birkaç kez uzak mesafeye fırlatıyor. mavi gömlekli bir kadın
Şıklar:
A. oturup onu izliyor.
B. diski bir enerji tabancasıyla yakalıyor.
C. aynı zamanda bir diski birkaç kez uzağa fırlatıyor.
D. onların arkasında yürüyor.",A,"D
Soru: Bir kadın bir arabaya binerken şemsiyesini açıyor. O
Şıklar:
A. arabanın camından dışarı bakıyor.
B. arabanın kapısını açıyor.
C. arabanın iç",False
1,"İnsanlar bir binanın önünde paten kayıyor. A
Şıklar:
A. kız kameranın önünde duruyor ve konuşuyor.
B. Adam konuşurken merdivenlerden piste çıkıyor.
C. Adam silindir bıçaklarını hızlı kullanıyor.
D. insan onlardan önce onlara yetişmeye çalışır.",C,"C
Soru: Bir grup insan bir binanın",False
1,"Küçük bir kız kumda oynuyor. Kız bir kürek alıyor. Bir kişi
Şıklar:
A. kameranın önünde yürüyor.
B. küreği ona uzat.
C. kumların önünde bisiklete binerek geliyor.
D. köpeğini kumda gezdiriyor.",A,"C
Soru: Bir kız bir dağın tepesinde duruyor. Kız
Şıklar:
A. bir dağın tepesinde duruyor.
B. bir dağın içinden geçiyor.
C. bir dağın dibinde duruyor.
D. bir dağın tepesinden aşağıya koşuyor.
Cev",False
1,"Yeşil bluzlu bir bayan ahşap mutfak zeminini süpürüyor. Bayan
Şıklar:
A. süpürgeliklere doğru süpürür.
B. Konuşurken elinde süpürge ve faraş tutuyor.
C. gideri açar ve zemini süpürür.
D. uzaklara bakıyor.",A,"C
Soru: Bir grup insan bir gölde yüzmektedir. İnsanlar
Şıklar:
A. bir su kayağı yarışması yapıyorlar.
B. bir su kayağı",False
1,"İnsanlar büyük bir şelalenin üzerinden kanoyla geçiyor. Bir kişi kamerayı tutar ve onu filme alır. iki insan
Şıklar:
A. suyun altında birlikte kayak yapıyorlar.
B. suya düşüp boğulmak.
C. birlikte kano yapıyoruz.
D. birbirinize çak bir beşlik verin.",D,"B
Soru: Bir kişi bir binanın yanından geçiyor. Bir diğeri
Şıklar:
A. binanın içinde bir şey arıyor.
B. ona bir mesaj gönderiyor.
C. binanın tepesine çıkıyor.
D. binanın yanına bir şey koyuyor.
Sadece yukarı",False
1,"Tekneler suyun içinden geçiyor. Bir fırtına vuruyor ve bir adam ağlıyor. tekneler
Şıklar:
A. suda bozuldu.
B. suyun içinden geçmeye devam edin.
C. Dalgaların üzerinden geçiyoruz ve birine mavi bir kamyonet çarpıyor.
D. bir dağa binmek.",B,"B
Soru 14: Bir adam bir binanın penceresinden bakıyor. Adam
Şıklar:
A.",False
1,"Bir adam asfalt bir sokakta duruyor. Koşmaya başlar ve toprak bir alana cirit atar. birkaç kişi daha
Şıklar:
A. ciriti aynı yere atın.
B. arka planda duruyorlar.
C. cirit atarak ona katılın.
D. koşun ve taş atın.",B,"A
Soru 14: Bir adam bir arabanın içinde oturuyor. Bir kişi
Şıklar:
A. arabanın arkasında duruyor.
B. arabanın kapısını açıyor.
C. araban",False
1,"Bir kadın bir masada oturuyor. Onlar
Şıklar:
A. Bıçağı havaya kaldırır ve onu gümüş bir çubuk üzerinde keskinleştirmeye başlar.
B. bir portakal portakal suyu ve bir bardak alın.
C. ellerinde bir şeyler örüyorlar.
D. masa tenisi oynamaya başlayın.",C,"B
Soru: Bir kişi bir dairede oturuyor. O
Şıklar:
A. bir masa oyunu oynuyor.
B.",False
1,"Bir adam cirit atmaya hazırlanan bir sopayla koşuyor. diğer adam
Şıklar:
A. birinci adam sürekli atış yaparken cirit atıyor.
B. cirit atarken tarlada duruyor.
C. o da eline cirit alarak koşuyor.
D. adamın atışı yapmasını izliyor.",D,"C
Soru: Bir adam bir ağacın altında oturuyor. Bir kadın
Şıklar:
A. adamın yanına oturuyor ve sohbet ediyor.
B. ağacın yanına oturup kitap okuyor.
C. adamın eline bir",False
