question,answer
"Hindistan, ABD'deki eyalet sayısının yarısından 4 fazla eyalete sahiptir. Her iki ülkedeki toplam eyalet sayısı nedir?",79
Bir cambaz 16 top jonglörlüğü yapabilir. Topların yarısı golf topudur ve golf toplarının yarısı mavidir. Kaç tane mavi golf topu vardır?,4
"Poppy 1000 parçalık bir yapboz çözmektedir. Parçaların dörtte birini tahtaya yerleştirir, sonra annesi kalan parçaların üçte birini yerleştirir. Yerleştirilecek kaç yapboz parçası kalmıştır?",500
"Andrea'nın Jamal'dan 8 fazla elması ve Jamal'ın muzlarının yarısı kadar muzu var. Jamal'ın elmalarından 4 fazla muzu var. Andrea'nın 52 elması varsa, toplam kaç meyve vardır?",168
"Belirli bir günde, 20 helyum balonunu doldurmanın toplam maliyeti 900 dolar oldu. İki gün sonra, her balonu doldurma maliyeti 20 dolar arttırıldı. Bentley, fiyat artışından sonra 170 balon doldurmak için ne kadar ödedi?",11050
"Emma ayda 72 vlog yapabilir ve yükleyebilir. Ancak ilk hafta sadece 18 vlog, ikinci hafta 21 vlog ve üçüncü hafta 15 vlog yapabildi. Ayda 72 vlogu tamamlamak için kaç vlog yapmalı?",18
"Justin'ın içinde birçok bozuk para bulunan bir kavanozu var. Kavanozda 32 çeyrek dolar, 95 on sent, 120 beş sent ve 750 kuruş var. Kavanozdaki toplam dolar miktarı ne kadar?",31
Dünyada 27 tane tek boynuzlu kalmıştır. Bunların üçte biri İskoç Yaylaları'ndadır. İskoç tek boynuzluların üçte ikisi dişidir. Kaç tane dişi İskoç tek boynuzlu vardır?,6
James mağazaya yürümeye karar verdi. Oraya yarı yolda varınca evde bir şeyi unuttuğunu fark etti ve geri yürümek zorunda kaldı. Eğer evi mağazadan 4 mil uzakta ise ve saatte 4 mil yürüyorsa mağazaya varması ne kadar sürdü?,2
"Otobüsteki erkeklerin kadınlara oranı 5:9'dur. Otobüsteki yolcu sayısı toplam 84 ise ve bir sonraki durakta 20 kadın otobüsten inerse, otobüste kaç kadın kalmıştır?",34
