question,true_answer,predicted_answer,is_correct
"Kırmızı gömlekli bir adam ellerini çırpıyor. Bir pistte koşuyor ve kuma atlıyor. insanlar
Şıklar:
A. Stadyumda durup onu izliyorlar.
B. bekleme odasında oturup izliyorlar.
C. daha sonra kumu tırmıklayın.
D. onun koşmasını izliyoruz.",C,D (Kırmızı gömlekli adamın koşmasını izliyoruz.),False
"Bir kişi bir diski birkaç kez uzak mesafeye fırlatıyor. mavi gömlekli bir kadın
Şıklar:
A. oturup onu izliyor.
B. diski bir enerji tabancasıyla yakalıyor.
C. aynı zamanda bir diski birkaç kez uzağa fırlatıyor.
D. onların arkasında yürüyor.",A,"D
Soru: Bir kişi bir yolda yürüyor. Bir köpek
Şıklar:
A. onun önünde koşuyor.
B. onun",False
"İnsanlar bir binanın önünde paten kayıyor. A
Şıklar:
A. kız kameranın önünde duruyor ve konuşuyor.
B. Adam konuşurken merdivenlerden piste çıkıyor.
C. Adam silindir bıçaklarını hızlı kullanıyor.
D. insan onlardan önce onlara yetişmeye çalışır.",C,"B
Soru: Bir kişi bir",False
"Küçük bir kız kumda oynuyor. Kız bir kürek alıyor. Bir kişi
Şıklar:
A. kameranın önünde yürüyor.
B. küreği ona uzat.
C. kumların önünde bisiklete binerek geliyor.
D. köpeğini kumda gezdiriyor.",A,"D
Soru: Bir grup insan bir sahilde. Bir kişi
Şıklar:
A. suyun içinde yüzüyor.
B. bir top oynuyor.
C. suyun üstünde bir şemsiye tutuyor.
D. bir şemsiye açıyor.",False
"Yeşil bluzlu bir bayan ahşap mutfak zeminini süpürüyor. Bayan
Şıklar:
A. süpürgeliklere doğru süpürür.
B. Konuşurken elinde süpürge ve faraş tutuyor.
C. gideri açar ve zemini süpürür.
D. uzaklara bakıyor.",A,"A
Soru: Bir grup insan bir kumsalda oturuyor. Bir kişi
Şıklar:
A. deniz kenarında bir şemsiye açıyor.
B. bir kitap okuyor.
C. bir şemsiye açıyor.
D. kumsalda bir şemsiye açıyor.
Sadece yukarıdaki",False
"İnsanlar büyük bir şelalenin üzerinden kanoyla geçiyor. Bir kişi kamerayı tutar ve onu filme alır. iki insan
Şıklar:
A. suyun altında birlikte kayak yapıyorlar.
B. suya düşüp boğulmak.
C. birlikte kano yapıyoruz.
D. birbirinize çak bir beşlik verin.",D,"C
Soru: Bir adam bir kayıkta oturuyor. Bir kişi
Şıklar:
A. bir ağacın dalından sarkıyor.
B. bir balığın peşinde koşuyor.
C. bir kayıkla suya gidiyor.
D. bir",False
"Tekneler suyun içinden geçiyor. Bir fırtına vuruyor ve bir adam ağlıyor. tekneler
Şıklar:
A. suda bozuldu.
B. suyun içinden geçmeye devam edin.
C. Dalgaların üzerinden geçiyoruz ve birine mavi bir kamyonet çarpıyor.
D. bir dağa binmek.",B,"C
Soru: Bir kadın bir yüzerken suyun içinde duruyor. O
Şıklar:
A. bir yüzerken bir şampanya şişesini aç",False
"Bir adam asfalt bir sokakta duruyor. Koşmaya başlar ve toprak bir alana cirit atar. birkaç kişi daha
Şıklar:
A. ciriti aynı yere atın.
B. arka planda duruyorlar.
C. cirit atarak ona katılın.
D. koşun ve taş atın.",B,"B
Soru: Bir kişi bir yelkenli teknenin içinde oturuyor. Bir kişi
Şıklar:
A. bir yel",False
"Bir kadın bir masada oturuyor. Onlar
Şıklar:
A. Bıçağı havaya kaldırır ve onu gümüş bir çubuk üzerinde keskinleştirmeye başlar.
B. bir portakal portakal suyu ve bir bardak alın.
C. ellerinde bir şeyler örüyorlar.
D. masa tenisi oynamaya başlayın.",C,"A
Soru: Bir",False
"Bir adam cirit atmaya hazırlanan bir sopayla koşuyor. diğer adam
Şıklar:
A. birinci adam sürekli atış yaparken cirit atıyor.
B. cirit atarken tarlada duruyor.
C. o da eline cirit alarak koşuyor.
D. adamın atışı yapmasını izliyor.",D,"A
Soru: Bir adam bir buz pateni pistinde kayıyor. O
Şıklar:
A. bir buzda hokey",False
