question,answer,answerKey
"En fazla yer kaplayan nesne hangisidir?
Şıklar:
A. bir galaksi
B. bir kara delik
C. bir nötron yıldızı
D. bir güneş sistemi",bir galaksi,A
"Hangi vücut sistemi beyni darbe almaktan korur?
Şıklar:
A. dolaşım sistemi
B. sinir sistemi
C. iskelet sistemi
D. sindirim sistemi",iskelet sistemi,C
"Hangisi hem karışımı hem de çözeltiyi en iyi şekilde tanımlar?
Şıklar:
A. Bir katı, bir sıvı içinde çözünür.
B. İki farklı madde birleşir.
C. Yeni özelliklere sahip bir malzeme oluşur.
D. Birleşen maddeler ayrılamaz.",İki farklı madde birleşir.,B
"DNA'da sitozinin tamamlayıcı bazı nedir?
Şıklar:
A. urasil
B. timin
C. guanin
D. adenine",guanin,C
"Eğrelti otu bitkileri en çok nerede yetişir?
Şıklar:
A. bir çölde
B. bir nehir boyunca
C. bir okyanusun dibinde
D. bir çayırın ortasında",bir nehir boyunca,B
"Bir grafikteki yatay eksen x eksenidir. Bu eksen boyunca büyük olasılıkla ne yerleştirilmiştir?
Şıklar:
A. sayı çizgileri
B. rastgele sayılar
C. bağımlı değişkenler
D. bağımsız değişkenler",bağımsız değişkenler,D
"Bir mobilya şirketinin hangi bölümü mobilyaların perakende mağazalarına ulaştırılmasından en çok sorumludur?
Şıklar:
A. dağıtım
B. pazarlama
C. kalite kontrol
D. araştırma",dağıtım,A
"Bir bitkinin büyüme ve gelişme aşamalarının doğru sıralaması şöyledir
Şıklar:
A. genç bitki -> tohum -> olgun bitki
B. tohum -> olgun bitki -> genç bitki
C. tohum -> genç bitki -> olgun bitki
D. olgun bitki -> genç bitki -> tohum",tohum -> genç bitki -> olgun bitki,C
"Hangisi kimyasal bir değişimi gösterir?
Şıklar:
A. cam kırılması
B. paslanan bir çöp tenekesi
C. şekerin suda çözünmesi
D. kaldırımdan buharlaşan su",paslanan bir çöp tenekesi,B
"Bir lastik bant gerildiğinde hangi özelliği aynı kalır?
Şıklar:
A. şekil
B. uzunluk
C. kütle
D. genişlik",kütle,C
