question,answer,answerKey
"Bir grup adam karanlık bir kulübün içindedir. bir adam
Şıklar:
A. masa tenisi oyunuyla meşgul.
B. ekranın dışındaki bir şeye dart atmaya başlar.
C. bir direğe bağlı ipin ucunda takla atar.
D. bir kız tarafından öpülür ve baş aşağı yere düşer.",ekranın dışındaki bir şeye dart atmaya başlar.,B
"Bir adam karda duruyor. O
Şıklar:
A. büyük bir kürek tutuyor.
B. ağaçlarla dolu bir alandadır ve başka bir adam tarafından tutulmaktadır.
C. bir kepçe alır ve kürekle dışarı atar.
D. bir makineye bağlı bir ipe tutunuyor.",büyük bir kürek tutuyor.,A
"Siyah şapkalı bir adam sokakta duruyor. Bir kişi
Şıklar:
A. buzdolabının üstünde oturup bira içiyor.
B. oyun koyma oyunu oynuyor.
C. bir sopayla pinataya vurur.
D. sokakta dans etmeye başlar.",sokakta dans etmeye başlar.,D
"Bayan dizlerinin üstüne oturuyor. Arka plandaki adam kar topluyor. Bayan gevşek çizgiden düşüyor. Biz
Şıklar:
A. bitiş jeneriğine bakın.
B. buzda hokey oynayan adamları görün.
C. atın yanındaki kadını görün.
D. gevşek ipte zıplayan bir adam gör.",gevşek ipte zıplayan bir adam gör.,D
"Birçok insan sahilde. Bir adam suya taklalar atmaya başlar. O
Şıklar:
A. snowboard yapıyor.
B. bir köpeğe yaklaşır.
C. bunu birçok farklı kez yapıyor.
D. daha sonra birkaç rampa daha koşar.",bunu birçok farklı kez yapıyor.,C
"Bir çocuk ayakta gayda çalıyor. insanlar
Şıklar:
A. gayda çalmasına yardım ediyoruz.
B. onun fotoğraflarını çekiyor ve onu yatırıyorlar.
C. bir masanın arkasında oturup çalışıyorlar.
D. önünde oturup izliyorlar.",önünde oturup izliyorlar.,D
"Bir grup insan deveye biniyor. deve
Şıklar:
A. orman ormanı boyunca yavaşça ilerliyor.
B. çok sert bir şekilde tutuluyor ve insanlar develerin üzerinde bizzat yürüyorlar.
C. yere düşer ve diz çöker.
D. kalabalık tarafından bir kapıdan geçiriliyor.",yere düşer ve diz çöker.,C
"Bir adam bankta öne doğru eğiliyor. diğer adam
Şıklar:
A. onun yanında mı duruyor?
B. ona bir hayvanın boynunu nasıl tutabileceğini ve dişlerini nasıl kesebileceğini gösteriyor.
C. sırtına güneş losyonu sürüyor.
D. onun arkasında kürek çekiyor.",sırtına güneş losyonu sürüyor.,C
"Star Wars hatıraları bir odada sergileniyor. Bir kişi
Şıklar:
A. bir nota sehpasının önünde saksafon çalıyor.
B. buzda bir delik açan matkaptır.
C. elektrikli süpürgeyi tezgahtan çıkarır ve yenisiyle değiştirir.
D. bisikletin patlak lastiğini keser.",bir nota sehpasının önünde saksafon çalıyor.,A
"Bir köpek turuncu bir kanepede oturuyor. bir köpek
Şıklar:
A. küvette oturup banyo yapıyor.
B. ön patisini fırçalıyor.
C. kahve fincanından içiyor.
D. bir kağıt parçasından içiyor.",küvette oturup banyo yapıyor.,A
