question,true_answer,predicted_answer,is_correct
"[başlık] Egr valfi nasıl değiştirilir [başlık] Egr valfini test etmek için araba taramasını kullanın. [adım] Bir tarama aleti, yerleşik teşhis, sürüm ii (obd-ii) sisteminizden bilgileri okur. Bu sistem motorunuzdaki sensörlerden bilgi toplar.
Şıklar:
A. Okumaların eksikliği egr valfı arızasını gösterebilir. [alt adımlar] Egr valfi arızasının gözlemlenebilir riski, sisteminizin test verilerini tanıyamamasıdır.
B. Sensör yanlış bir şey tespit ederse bunu obd-ii'ye bir hata kodu olarak bildirir. Bir tarama aleti bu kodu okumanızı sağlar.
C. Bu, motorunuzu gece çalıştırdığınızda veya aralıklı onarımlar yaparken yararlı olabilir. [alt adımlar] Motorunuzun sabit 100° fahrenhayt sıcaklıkta çalışmasına izin verin.
D. [alt adımlar] Bu taramalar size yalnızca farklı sistemlerin nasıl çalıştığını anlatmakla kalmayacak, aynı zamanda motorunuzun neyi algıladığını ve bunlara nasıl güvendiğini de anlatacaktır. Bu taramalar genellikle tanılama panelinizde görünmez.",Sensör yanlış bir şey tespit ederse bunu obd-ii'ye bir hata kodu olarak bildirir. Bir tarama aleti bu kodu okumanızı sağlar.,B. Sensör yanlış bir şey tespit ederse bunu obd-ii'ye bir hata kodu olarak bildirir. Bir tarama aleti bu kodu okumanızı sağlar.,False
"[header] Dreamworld nasıl ziyaret edilir [title] Ne zaman gitmek istediğinize karar verin. [adım] Herkes gittiğinde, yani okul tatillerinde gitmek kaçınılmaz olarak 'bir şey' için kuyrukta beklemek anlamına gelecektir; bu ister bir gezinti, ister eğlence, ister yemek siparişi olsun. Alternatif olarak yoğun saatlerin dışına çıkmak, çocuklarınızı okuldan almak anlamına gelebilir.
Şıklar:
A. [title] Kendi saat diliminizdeki belirli saatleri öğrenin. [adım] Rüya dünyasındayken seni başka kimse göremeyecek olsa da, ne kadar erken gidersen o kadar iyi.
B. [title] Hayal dünyasına herkesin gitmesinden sekiz gün önce varın. [adım] En az bir saat erken uyanmanız önerilir.
C. [alt adımlar] Kreşler okul dışında uzun bir yürüyüş anlamına gelebilir. Sizin için haftanın doğru günü olmadığı sürece kreşler günaşırı olmalıdır.
D. Kalabalıkların azalması ile çocuklarınızın eğitimindeki aksaklıklar arasındaki fark nedir? [title] Ne kadar süreyle ziyaret etmek istediğinize karar verin. [adım] Dreamworld'ün bir günden iki yıla kadar birçok farklı geçişi vardır.",Kalabalıkların azalması ile çocuklarınızın eğitimindeki aksaklıklar arasındaki fark nedir? [title] Ne kadar süreyle ziyaret etmek istediğinize karar verin. [adım] Dreamworld'ün bir günden iki yıla kadar birçok farklı geçişi vardır.,"A. [title] Kendi saat diliminizdeki belirli saatleri öğrenin. [adım] Rüya dünyasındayken seni başka kimse göremeyecek olsa da, ne kadar erken gidersen o kadar iyi.",False
"Tüm malzemeleri karıştırdıktan sonra hamuru toplar halinde yuvarlayıp bir kurabiye tepsisine yerleştirip fırına koymaya başlıyor. Onları fırından çıkarıyor ve tek tek setler halinde sarmaya başlıyor. video
Şıklar:
A. renkli ekranda gösterilen kapanış jeneriğiyle sona erer.
B. biter ve kamera etrafta dolaşırken o ve minik tekrar konuşur.
C. kapanış jeneriğiyle sona erer.
D. ekranda gösterilen kapanış yazılarıyla sona erer.",kapanış jeneriğiyle sona erer.,C. kapanış jeneriğiyle sona erer.,False
"[header] Çıtır ballı biberli patates nasıl yapılır [title] Patatesleri ince parmaklar halinde kesin. [title] Patateslere tuz ve karabiber serpin. [adım] Tüm patates dilimlerini eşit şekilde kaplayın.
Şıklar:
A. [başlık] Fritözdeki kömürleri 350 ° f'ye (177 ° c) ısıtın. [başlık] (isteğe bağlı) 1 yemek kaşığı içinde birleştirin.
B. [title] 3 ila 5 dakika veya patatesler tamamen pişip biraz tat bırakmaya başlayana kadar pişirin. [title] Mısırı ekleyin ve mısırı gevşetmek ve derin kaynamaya teşvik etmek için bir ila iki dakika pişirin.
C. [title] Unu ve mısır ununu birlikte karıştırın. [başlık] Patates dilimlerini un-mısır unu karışımıyla kaplayın.
D. [title] Patatesleri ters çevirin ve kesme tahtasına koyun. [adım] Yavaş, dikey bir kesme hareketi kullanın.",[title] Unu ve mısır ununu birlikte karıştırın. [başlık] Patates dilimlerini un-mısır unu karışımıyla kaplayın.,A. [başlık] Fritözdeki kömürleri 350 ° f'ye (177 ° c) ısıtın. [başlık] (isteğe bağlı) 1 yemek kaşığı içinde birleştirin.,False
"Mavi kıyafetli bir erkek jimnastikçi ellerine tebeşir tozu sürüyor. bir infografik
Şıklar:
A. Adının ABD'den Danell Leyva olduğu görülüyor.
B. Grafik makale, bir tür kol delme işleminin metali keskinleştirdiğini açıklıyor.
C. Ekranda bir zeminin röntgeninin temel oluşumunu gösteren bir ekran belirir.
D. Grafik, sanki bir tencereyi alıp bir bezle ovalamanız gerekiyormuş gibi görünen toz katmanlarıyla ortaya çıkıyor.",Adının ABD'den Danell Leyva olduğu görülüyor.,A. Adının ABD'den Danell Leyva olduğu görülüyor.,False
"[başlık] Çevrimiçi sipariş vermek için kredi kartı nasıl kullanılır? [başlık] Güvenli, şifreli bir ağa bağlanın. [alt adımlar] Bazı tarayıcılar, güvenli bir ağ bağlantısını belirtmek için kapalı asma kilit simgesini kullanır. Güvenli bir ağı belirtmek için normal "" [http, "" http, ""] yerine internet adresinin önünde "" [https "" https ""] ifadesini de arayabilirsiniz.
Şıklar:
A. İnternet güvenlik bilgilerinizi numaranızdan ayırın. Kod, standart ağların güvenlik kurallarına göre belirlenir.
B. Bazı x86 kullanıcıları, çevrimiçi bir satıcıyı kolayca bulmak ve satıcı hesaplarını oluşturmak için bağımsız sitelerden alışveriş yapabilir. [title] HSP'lerin sınırsız süreli hesap çalıştırmasına olanak tanıyan bir banka kartı şirketiyle sanal bir alışveriş hesabı oluşturun.
C. Kredi kartı bilgilerinizi güvenli olmayan bir ağ üzerinden e-postayla göndermekten kaçının. E-posta özel gibi görünse de, aynı ağdaki başka bir kullanıcının iletiminizi izlemesi çok kolaydır.
D. [title] Hesabınızla ilişkili bilgileri "" kayıt ol "" alanına girin. [adım] Çevrimiçi sipariş vermek için kredi kartı kullanmak istiyorsanız ek bilgi girmeniz gerekebilir.","Kredi kartı bilgilerinizi güvenli olmayan bir ağ üzerinden e-postayla göndermekten kaçının. E-posta özel gibi görünse de, aynı ağdaki başka bir kullanıcının iletiminizi izlemesi çok kolaydır.","C. Kredi kartı bilgilerinizi güvenli olmayan bir ağ üzerinden e-postayla göndermekten kaçının. E-posta özel gibi görünse de, aynı ağdaki başka bir kullanıcının iletiminizi izlemesi çok kolaydır.",False
"Bir turnuva sırasında profesyonel bir tenis maçı oynanır. Oyuncular maç sırasında kulaklıkla konuşuyor. bir adam
Şıklar:
A. bir odada insanlarla oynarken gösteriliyor.
B. Maçı başlatmak için topu servis atmaya hazırlanıyor.
C. nokta topu ağlara sokar.
D. kırmızılı bir sepetle bir şeritte bekliyor.",Maçı başlatmak için topu servis atmaya hazırlanıyor.,C. nokta topu ağlara sokar.,False
"Bir tamirci verandanın önünde duruyor ve konuşuyor. Adam iki camı aynı anda temizlemek için iki silecek kullanıyor. adam
Şıklar:
A. daha sonra her bir camı sert bir fırça ve çakmak kullanarak yıkar.
B. eve bakar ve çekçekle silerek temizler.
C. pencereyi çevreleyen dalları tıraş eder.
D. işini bitirir ve aletlerini alet kemerine koyar.",işini bitirir ve aletlerini alet kemerine koyar.,A. daha sonra her bir camı sert bir fırça ve çakmak kullanarak yıkar.,False
"[header] Yalakta kaya bahçesi nasıl yapılır [title] Yalakınızın olmasını istediğiniz malzemeyi seçin. [adım] Bahçe mağazasından taş, metal veya ahşap bir yalak satın alabilirsiniz; bunlar oldukça pahalı olma eğilimindedir. Ayrıca ıslah bahçesindeki eski bir uşak lavabosunu veya metal küveti de kullanabilirsiniz.
Şıklar:
A. [title] Kompost yığınınız için organik malzeme toplayın. [adım] Kompost yığınınızı oluşturmak için birçok farklı malzeme türü vardır, bu nedenle bahçeniz için mükemmel olanı bulma konusunda endişelenmeyin.
B. [başlık] Hurda malzemenin tek ince parçasından (taban, alt, üst) 20 ""x 20"" boyutunda bir çapraz direk kesin. [title] Direği oluğun bir köşesine yerleştirin.
C. Sağlam taş olukların, özellikle toprak ve kayalarla dolu olduğunda çok ağır olacağını unutmayın. [alt adımlar] Drenaj delikleri olan bir oluk ekim makinesi almaya çalışın veya mümkünse kullandığınız ekim makinesine drenaj delikleri açın.
D. [title] Oluğu seçtiğiniz yüksekliğe kadar kesin. [adım] Orantıları, içte ve dışta eşit miktarda yan çapraz destek olacak şekilde ayarlayın.","Sağlam taş olukların, özellikle toprak ve kayalarla dolu olduğunda çok ağır olacağını unutmayın. [alt adımlar] Drenaj delikleri olan bir oluk ekim makinesi almaya çalışın veya mümkünse kullandığınız ekim makinesine drenaj delikleri açın.","B. [başlık] Hurda malzemenin tek ince parçasından (taban, alt, üst) 20 ""x 20"" boyutunda bir çapraz direk kesin. [title] Direği oluğun bir köşesine yerleştirin.",False
"Bir adam makineyi açıklarken, insanlar bir makinede sapından çekiş yaparak karın kaslarını çalıştırıyor. Daha sonra
Şıklar:
A. , adam ağır makineyi ve bardağı beline kadar kaldırıyor, bir kolu çekiyor ve bardakları çıkarmak için dik konuma getiriyor.
B. İnsanlar ağırlık kaldırır ve egzersiz yapar, aynı zamanda adam da ağırlık kaldırır.
C. Adam kulpları tutuyor ve egzersiz yapmak için makineyi yürütüyor.
D. Adam bir kadını kaldırıp belini ve boynunu koyuyor.","İnsanlar ağırlık kaldırır ve egzersiz yapar, aynı zamanda adam da ağırlık kaldırır.","A., adam ağır makineyi ve bardağı beline kadar kaldırıyor, bir kolu çekiyor ve bardakları çıkarmak için dik konuma getiriyor.",False
"[header] Ceza almaktan nasıl kaçınılır [title] Derse zamanında gidin. [adım] Sabah okula geç kalsanız da, koridorlarda oyalanırken de yakalansanız, öğretmeniniz mutlu olmayacaktır. Hiçbir randevuyu, işi veya aile gezisini atlamayacağınızı unutmayın.
Şıklar:
A. Gitmek istemeseniz bile, bunu şimdi atlatmak yapılacak doğru şeydir. [alt adımlar] Gözaltına alınmak öğle yemeği sırasında veya okuldan sonra size zaman kaybettirir.
B. Derse her gün en az 30 dakika erken gelmeyi alışkanlık haline getirin, böylece hazırlanabilirsiniz. [alt adımlar] Nereye gideceğinizi bilmeniz için öğretmene herhangi bir ulaşım durumunu önceden bildirdiğinizden emin olun.
C. [alt adımlar] Arkadaşlarınızla laboratuarlara, spor salonuna veya akşam yemeğine gidin. Kısa bir öğle yemeği için yeterince eşya toplayacaklar ya da fazladan birkaç dakikanız varsa onları idare etmek daha kolay olacaktır.
D. Geç kalırsanız başınız belaya girmeyecek veya uzaklaştırılmayacaksınız! [title] Erkenden ayrılın ve mola verin. [adım] Bir program hazırlarken öğretmenlerinize karşı daima kibar olun.","Gitmek istemeseniz bile, bunu şimdi atlatmak yapılacak doğru şeydir. [alt adımlar] Gözaltına alınmak öğle yemeği sırasında veya okuldan sonra size zaman kaybettirir.","B. Derse her gün en az 30 dakika erken gelmeyi alışkanlık haline getirin, böylece hazırlanabilirsiniz. [alt adımlar] Nereye gideceğinizi bilmeniz için öğretmene herhangi bir ulaşım durumunu önceden bildirdiğinizden emin olun.",False
"[başlık] voldyne 5000 nasıl kullanılır [başlık] İstediğiniz hedefi doğrulayın. [adım] Voldyne 5000'i bir doktor, hemşire veya solunum terapistinin gözetiminde kullanırken, bu sağlık uzmanının genellikle bir hedefi olacaktır. [alt adımlar] Voldyne 5000'in hedef aralığı 250 ila 2500 ml arasındadır, dolayısıyla hedefiniz bu aralıkta bir yere düşmelidir.
Şıklar:
A. Planı tek bir birim olarak açabilmelisiniz. Hedef bir yılda 250 ml, 2-3 yılda 500 ml, 5 yaşında 650 ml almak olabilir.
B. Bu konuyla ilgilenirken zihninizden akan küçük enerji akışını hissedebilirsiniz. Randevunuzda bu tedaviyi verirken rahatsız edici anlar ve hatta anılar yaşayabilirsiniz.
C. Hedef aralığı Washington'un gol hedefiyle muhtemelen 700 ile 450 ml arasında bir yerde olacaktır. [title] Kan örneği yedeklemesini kaydetmenize yardımcı olacak bir sağlık kartı getirin.
D. Bu sayılar akciğerlerinizin alabileceği hava hacmi miktarını gösterir. Prosedüre bir hacim hedefi göz önünde bulundurularak başlamak genellikle en iyisi olsa da, ilk kullanımda bu kesinlikle gerekli değildir.","Bu sayılar akciğerlerinizin alabileceği hava hacmi miktarını gösterir. Prosedüre bir hacim hedefi göz önünde bulundurularak başlamak genellikle en iyisi olsa da, ilk kullanımda bu kesinlikle gerekli değildir.","A. Planı tek bir birim olarak açabilmelisiniz. Hedef bir yılda 250 ml, 2-3 yılda 500 ml, 5 yaşında 650 ml almak olabilir.",False
"Üçüncü başlık ekranını ve sahilde kameralı iki adamı görüyoruz. Daha sonra okyanustaki sörfçüleri görüyoruz. Biz
Şıklar:
A. teknede kameralı bir adam görüyorum.
B. çölde kumsalın kenarında yürüyen adamları görün.
C. kapanış başlık ekranına bakın.
D. sonra gevşek bir hatta sörf yapan dört adam görüyoruz.",teknede kameralı bir adam görüyorum.,D. sonra gevşek bir hatta sörf yapan dört adam görüyoruz.,False
