question,answer,answerKey
"Bir gökbilimci, bir göktaşının çarpmasından sonra bir gezegenin daha hızlı döndüğünü gözlemler. Dönüşteki bu artışın en olası etkisi hangisidir?
Şıklar:
A. Gezegen yoğunluğu azalacak.
B. Gezegensel yıllar daha uzun olacak.
C. Gezegensel günler kısalacak.
D. Gezegensel yerçekimi daha güçlü hale gelecektir.",Gezegensel günler kısalacak.,C
"Bir grup mühendis, farklı bina tasarımlarının bir deprem sırasında nasıl tepki vereceğini öğrenmek istedi. Birkaç bina modeli yaptılar ve her birini deprem koşullarına dayanma kabiliyeti açısından test ettiler. Farklı bina tasarımlarının test edilmesinin sonucu büyük olasılıkla hangisi olacaktır?
Şıklar:
A. binalar daha hızlı inşa edilecek
B. binalar daha güvenli hale getirilecek
C. bina tasarımları daha güzel görünecek
D. inşaat malzemeleri daha ucuz olacak",binalar daha güvenli hale getirilecek,B
"Fotosentez sürecinin nihai sonucu şeker ve oksijen üretimidir. Hangi adım fotosentezin başlangıcını işaret eder?
Şıklar:
A. Kimyasal enerji kökler aracılığıyla emilir.
B. Işık enerjisi kimyasal enerjiye dönüştürülür.
C. Yapraktaki klorofil ışık enerjisini yakalar.
D. Güneş ışığı klorofile dönüştürülür.",Yapraktaki klorofil ışık enerjisini yakalar.,C
"Bir fizikçi, bir arabanın bir rampadan atlamak için ulaşması gereken hızı belirlemek istiyor. Fizikçi üç deneme yapar. İkinci ve üçüncü denemelerde arabanın hızı saatte 20 mil artırılır. Fizikçi hızı değiştirdiğinde neyi araştırıyor?
Şıklar:
A. kontrol
B. hipotez beyanı
C. bağımlı (yanıt veren) değişken
D. bağımsız (manipüle edilen) değişken",bağımsız (manipüle edilen) değişken,D
"Bir astronot Ay'a 1.0 kg'lık bir cisim ve 5.0 kg'lık bir cisim bırakır. Her iki cisim de dikey olarak toplam 2,0 m mesafeye düşüyor. Aşağıdakilerden hangisi cisimleri 1,0 m düştükten sonra en iyi şekilde tanımlar?
Şıklar:
A. Her ikisi de kinetik enerji kaybetti.
B. Her biri aynı miktarda potansiyel enerji kazanmıştır.
C. Her ikisi de aynı miktarda potansiyel enerji kaybetmiştir.
D. Her biri maksimum kinetik enerjilerinin yarısını kazanmıştır.",Her biri maksimum kinetik enerjilerinin yarısını kazanmıştır.,D
"Şeytan yüz tümörü hastalığı (DFTD) Tazmanya canavarlarının nüfusunu azaltan bir hastalıktır. Hastalık bir hayvandan diğerine ısırık yoluyla geçer ve parazitlerden kaynaklanır. Parazitler, enfekte hayvanın vücuduna yayılan ve onu öldüren kanserli tümörlere neden olur. DFTD'nin en iyi tanımı nedir?
Şıklar:
A. bulaşıcı olmayan, hücre döngüsü hastalığı
B. bulaşıcı, hücre döngüsü hastalığı
C. bulaşıcı olmayan, kronik bir hastalık
D. bulaşıcı, kronik bir hastalık","bulaşıcı, hücre döngüsü hastalığı",B
"Amerika Birleşik Devletleri'nin batısındaki dağlık bölgelerde yaşayan bir tür küçük memeli, evini kaya yığınlarından yapar. Yaz aylarında memeli, kaya yığınlarının korunaklı yerlerine otlar ve tohumlar yerleştirir. Bu davranışın en olası nedeni aşağıdakilerden hangisidir?
Şıklar:
A. kıştan önce göç için hazırlanmak
B. soğuk kış aylarında sıcaklık sağlamak için
C. kış aylarında yenecek yiyecekleri depolamak için
D. kıştan önce otları ve tohumları çürümekten korumak için",kış aylarında yenecek yiyecekleri depolamak için,C
"Taşlaşmış palmiye ağaçları buzulların yakınındaki tortul kayalarda bulunur. Taşlaşmış palmiye ağaçlarının varlığı büyük olasılıkla hangi ifade için kanıt sağlar?
Şıklar:
A. Bölgede bir zamanlar su vardı.
B. Bölge bir zamanlar otlaktı.
C. Bölgenin iklimi bir zamanlar tropikaldi.
D. Bölgede aktif faylar bulunmaktadır.",Bölgenin iklimi bir zamanlar tropikaldi.,C
"Wyoming'deki çiftçiler, bazı tavuklarının çiftliklerinin etrafındaki bölgelerde yaşayan şahinler tarafından avlanması nedeniyle endişe duyuyorlardı. Çiftçiler bir araya gelerek şahinleri bölgelerinden uzaklaştırana kadar avladılar. Bundan sonra büyük olasılıkla hangisi olur?
Şıklar:
A. Tavuk nüfusu azalır.
B. Fare ve sıçan popülasyonları artar.
C. Atmacanın yerini başka bir yırtıcı kuş alır.
D. Tavuklarda hastalık oranı daha düşük olur.",Fare ve sıçan popülasyonları artar.,B
"Bakır, elektrik tellerinde kullanılan bir elementtir. Bakırın özelliklerini hala koruyan en küçük bakır birimi nedir?
Şıklar:
A. atom
B. elektron
C. çekirdek
D. proton",atom,A
"Hücre sınıflandırmasına göre prokaryotik hücreler ökaryotik hücrelerden ayrılır. Prokaryotik hücreleri ökaryotik hücrelerden ayırmak için genellikle hangi özellik kullanılır?
Şıklar:
A. yaşam süreçleri
B. boyut farklılıkları
C. plazma membranları
D. enerji molekülleri",boyut farklılıkları,B
"Hangi ifade Güneş'in okyanuslar üzerindeki etkisini en iyi şekilde açıklar?
Şıklar:
A. Güneş dalgaların oluşumunu etkiler.
B. Güneş su parçacıkları yaratır.
C. Güneş ışınları organizmaların yüzeye çıkmasına neden olur.
D. Güneş mineralleri sağlar.",Güneş dalgaların oluşumunu etkiler.,A
"Bir şehirde sabah sıcaklığı 41°F'dir. Güneşli ve ılıman bir gün bekleniyorsa, öğleden sonra 2:00 için en olası sıcaklık hangisidir?
Şıklar:
A. 32° F
B. 41° F
C. 78° F
D. 98° F",78° F,C
"Bir sınıf, hangi marka ampulün en uzun süre dayandığını görmek için bir araştırma planlar. Bu adımlardan hangisi önce gelmelidir?
Şıklar:
A. Soruşturmayı tekrarlamak.
B. Sonuçların bir raporunu yazmak.
C. Verileri kaydetmek için bir tablo oluşturmak.
D. Ampuller üzerinde günlük gözlemler yapmak.",Verileri kaydetmek için bir tablo oluşturmak.,C
"Bu gazlardan hangisi Dünya'nın alt atmosferinde en bol bulunan sera gazıdır?
Şıklar:
A. Ozon
B. metan
C. su buharı
D. karbondioksit",su buharı,C
"Su hangi sıcaklıkta donar?
Şıklar:
A. 0 santigrat derece
B. 32 santigrat derece
C. 100 santigrat derece
D. 212 santigrat derece",0 santigrat derece,A
"Dinozorların fosil kemikleri ve dişleri son yüzyıldır araştırılmaktadır. Fosilleşmiş dinozorların son keşifleri, deri gibi yumuşak dokuların ayrıntılarını da ortaya çıkardı. Bir bilim insanının şu anda dinozorlarla ilgili araştırmaları rapor ederken yapması gereken en iyi şey hangisidir?
Şıklar:
A. dişler veya kemikler üzerinde yapılan araştırmaları hariç tutmak
B. bir sonraki keşfin ne olacağını tahmin etmek
C. yeni veriler elde edildikçe bunları analiz etmek
D. yeni bulguları içermeyen önceki raporları silmek",yeni veriler elde edildikçe bunları analiz etmek,C
"Molly çay poşetlerini kaynar suya koyarak buzlu çay yapıyordu. Sıcak çayı hızlı bir şekilde soğutması gerekiyordu, bu yüzden çayı buz dolu bir sürahiye döktü. Termal enerji akışını en iyi hangisi açıklar?
Şıklar:
A. buzdan çaya doğru
B. çaydan buza doğru
C. sürahiden çaya doğru
D. buzdan sürahiye doğru",çaydan buza doğru,B
"Tomruk şirketleri bir ormandaki ağaçları keser ve ağaçları ormandan uzaktaki kereste fabrikalarına gönderir. Fabrikalar inşaat için kullanılan tahtalar üretir. Bazı tomruk şirketleri ağaçları kestikten sonra ağaç fideleri dikmezler. Ağaç fidelerinin dikilmemesi gelecekte levhaya ihtiyaç duyan insanları etkileyebilir çünkü
Şıklar:
A. panoların fiyatı artar
B. panoların fiyatı düşer
C. daha fazla pano mevcut olur
D. ağaç kesimi için daha fazla ağaç olur",panoların fiyatı artar,A
"Bir zamanlar canlı organizmaların cansız maddelerden meydana gelebileceği düşünülüyordu. Örneğin, insanlar sineklerin çürüyen etten gelişebileceğine inanıyordu. Bu fikir daha sonra şu nedenle çürütüldü:
Şıklar:
A. atomun keşfi
B. daha iyi cerrahi teknikler
C. devam eden deneyler
D. mikroskobun icadı",devam eden deneyler,C
"Hücreler enerji için yiyecek alır. Gıdaların sindirimine yardımcı olan hücre parçası lizozomdur. Lizozomların gıda sindirimi sürecindeki ana rolü nedir?
Şıklar:
A. protein inşa etmek
B. atıkları parçalamak
C. Hücrenin faaliyetlerini kontrol etmek
D. enerjiyi bir formdan diğerine dönüştürmek",atıkları parçalamak,B
"Belirli bir aparat kullanılarak suyun (H_{2}O) içinden elektrik akımı geçirildiğinde hidrojen (H_{2}) ve oksijen (O_{2}) gazları oluşur. Bu reaksiyon kimyasal bir denklemde nasıl gösterilebilir?
Şıklar:
A. H_{2}O -> H + O + H
B. 2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g)
C. H:O:H -> H_{2}O
D. H_{2}O(l) -> 2H(g) + O(g)",2H_{2}O(l) -> 2H_{2}(g) + O_{2}(g),B
"Hangisi penguenler hakkında bir gerçektir?
Şıklar:
A. Penguenler dondurucu soğukların olduğu iklimlerde yaşayabilirler.
B. Penguenler acımasız rakiplerdir.
C. Penguenler en güzel kuşlardan bazılarıdır.
D. Penguenlerden harika evcil hayvanlar olur.",Penguenler dondurucu soğukların olduğu iklimlerde yaşayabilirler.,A
"110°F sıcaklıktaki bir bardak su, 50°F sıcaklıktaki bir bardak suyun yanına bir odaya yerleştirilir. Odanın sıcaklığı her zaman 73°F'dir. İki bardak gece boyunca odada bırakılırsa, ertesi gün her iki bardak suyun sıcaklığı yaklaşık olarak
Şıklar:
A. 43°F.
B. 50°F.
C. 73°F.
D. 90°F.",73°F.,C
"Kar, yağmur, dolu ve sisin hepsi
Şıklar:
A. Gazdır.
B. Sudur.
C. Rüzgardır.
D. Buluttur.",Sudur.,B
"Scott bir tepsiyi meyve suyuyla doldurdu ve dondurucuya koydu. Ertesi gün Scott dondurucuyu açtı. Meyve suyu büyük olasılıkla nasıl değişti?
Şıklar:
A. Yoğunlaştı.
B. Buharlaştı.
C. Gaz haline geldi.
D. Katı bir hale geldi.",Katı bir hale geldi.,D
"21 Ağustos'ta Las Vegas bölgesi için ani sel uyarısı yapıldı. Hangi ifade bu uyarıyı hava ve iklim açısından en iyi şekilde açıklamaktadır?
Şıklar:
A. Yıl boyunca değişmeyen bir iklim özelliğidir.
B. Düzensiz oluşumlara sahip mevsimsel bir hava özelliğidir.
C. Gerçekleştiği mevsim boyunca sürekli bir hava özelliğidir.
D. Yerel iklim ve hava koşullarıyla uyumlu olmayan nadir bir olaydır.",Düzensiz oluşumlara sahip mevsimsel bir hava özelliğidir.,B
"Öğrenciler bir sınıf gösterisi sırasında üç nesneyi farklı sıcaklıklara kadar ısıttılar. Her nesne aşağıda gösterildiği gibi farklı renkte ışık yaydı. Nesne 1: mavi ışık Nesne 2: kırmızı ışık Nesne 3: turuncu ışık Hangi liste nesneleri en yüksek sıcaklıktan en düşük sıcaklığa doğru sıralar?
Şıklar:
A. Nesne 1, Nesne 2, Nesne 3
B. Nesne 1, Nesne 3, Nesne 2
C. Nesne 2, Nesne 1, Nesne 3
D. Nesne 2, Nesne 3, Nesne 1","Nesne 1, Nesne 3, Nesne 2",B
"Plankton adı verilen küçük organizmalar okyanuslarda yaşar. Bazı planktonlar Güneş'ten enerji alabilir ve bunu yiyeceğe dönüştürebilir. Planktonlar okyanusta yaşayan hayvanlar için en çok nasıl faydalıdır?
Şıklar:
A. Planktonlar renklidir.
B. Planktonlar suyu temizler.
C. Planktonlar oksijen salgılar.
D. Planktonlar hızla çoğalır.",Planktonlar oksijen salgılar.,C
"Hangi ifade bir ağaç dalının su üzerinde neden yüzdüğünü en iyi açıklar?
Şıklar:
A. Ahşap gözeneklidir.
B. Ahşap yüzer.
C. Ahşap hafiftir.
D. Ahşap manyetiktir.",Ahşap yüzer.,B
